Δώρο,Company,Σημειώσεις
"Ποδήλατο 22"" ",Σχολική Ανάμνηση ,(Έδρα: Λάρισα)
Υποτροφία Μάρτιο-Ιούνιο + Στολή Ταεκβοντό + T-shirt ,ΑΣ Πάνθεον,Παπαδάκη 4
Kids massage + 30' μασάζ για τη μαμά,Aegeo Spa Electra Palace,Αριστοτέλους 9
Skateboard Banwood,CozyKids/FLEXA,CozyKids/FLEXA
50% δίδακτρα έκπτωση μέχρι τέλος σεζόν ,The School Project ,Αλεξανδρείας 63 (Ρικάρντο Χέιρ)
Δωροεπιταγή 50€,Οπτικά Serli,Κ. Καραμανλή 142
Θεραπεία προσώπου αξίας 50€,Λίνα Γκαζά Medical Aesthetics,Π. Μελά 35
1 κόσμημα,Πολύδωρος Εργαστήριο Χρυσοχοϊας,Παπακυριαζή 9
1 brunch,S Hotel Boutique Thessaloniki,Καλαποθάκη 5
1 δωρεάν συνεδρία μασάζ-μάλαξη,Αντωνόπουλος Αριστείδης ,Ναταλίας Μελά 4 (περιοχή Ανθέων)
Γεύμα αξίας 30€,Padella ,25ης Μαρτίου 13
Έκπτωση με μια συνδρομή δύο παιδιά αδερφό ή ξάδερφο από Μάρτη ως Ιούνη κ 2 στολές+2 t-shirt δώρο ,ΑΣ Πάνθεον ,Παπαδάκη 4
2 μήνες δωρεάν για τμήμα χορού της επιλογής σας (από Σεπτέμβριο),Capsula di Danza,Καθ. Χατζηδάκη 13
Μασάζ ,Girl in Beauty Salon ,Δελφών 153
50Ε έκπτωση στα δίδακτρα του επόμενου ακαδ. έτους (2026-2027),E-Z English,Μαντινείας 57
Τραπέζι αξίας 40€,Κιβωτός των Γεύσεων,Πατ. Ιωακείμ 26
Δώρο αξίας 15€,Petunia Kids Boutique,25ης Μαρτίου 99
Κούρεμα,Evi's coiffure,Μπότσαρη 62
1 κόσμημα,Πολύδωρος Εργαστήριο Χρυσοχοϊας,Παπακυριαζή 9
1 κιλό βουτήματα της επιλογής σας,Le Parfait,Π. Συνδίκα 60
Δωροεπιταγή 50€,Οπτικά Serli,Κ. Καραμανλή 142
Καθαρισμός παπλώματος ,QuickIron,Π. Συνδίκα 26
1 επίσκεψη σε τμήμα της επιλογής σας,Μονόκυκλο ,Αρχελάου 4
1 κρέμα προσώπου Sostar,Φαρμακείο Α. Σαμαρά,Δελφών 138
"0,5 κιλό πτι-φουρ",Ένα & Ένα,Π. Συνδίκα 28
Σετ κατσαβίδια ,Εργαλεία & Τέχνη,Π. Συνδίκα 22
Σετ αφρόλουτρο παιδικό ,Φαρμακείο Ναταλία Καραντζέλη ,Π. Συνδίκα 27
1 παιδική φόρμα νούμερο 16 για κορίτσι ,Trabolino Kids,25ης Μαρτίου 46
1 παιδικό παγούρι unisex,Aenao Toys ,25ης Μαρτίου 47
1 συνεδρία laser άνω χείλους + επαναληπτικό,Dr Αμαλία Τσακίρη ,Φιλελλήνων 11
1 hands free,Phone Club ,25ης Μαρτίου 61
Μασάζ ,Girl in Beauty Salon ,Δελφών 153
Λογοθεραπευτική αξιολόγηση ,Λογοκίνηση,Κ. Καραμανλή 88
50€ έκπτωση στα δίδακτρα του επόμενου ακαδ. έτους (2026-2027),E-Z English,Μαντινείας 57
Σακούλα δώρου από φαρμακείο ,Φαρμακείο Χρυσομαλλίδης ,Π. Συνδίκα 60
Λογοθεραπευτική αξιολόγηση ,Λογοκίνηση,Κ. Καραμανλή 88
1 μηνιαία συνδρομή (για νέα μέλη),Σχολή χορού Line of Dance,Νικ. Πλαστήρα 30
Δωροκάρτα 20€ σε εκτυπώσεις ,Παπαδάκης φωτοτυπάδικο,Π. Συνδίκα 42
1 κόσμημα,Πολύδωρος Εργαστήριο Χρυσοχοϊας,Παπακυριαζή 9
Σάντουιτς + αναψυκτικό ,Τα δυο γουρουνάκια ,Καρακάση 52
Χτένισμα,Evi's coiffure,Μπότσαρη 62
1 συνεδρία πιλάτες ριφόρμερ + 1 συνεδρία γιόγκα ,Auren Premium Fitness Club,Σόλωνος 75
Λογοθεραπευτική αξιολόγηση ,Λογοκίνηση,Κ. Καραμανλή 88
2 μήνες δωρεάν για τμήμα χορού της επιλογής σας (από Σεπτέμβριο) ,Capsula di Danza,καθ. Χατζηδάκη 13
"1 μπάλα μπάσκετ, 1 μπάλα ποδοσφαίρου και 1 μπάλα βόλεϋ ",Σχολική ανάμνηση ,(Έδρα: Λάρισα)
1 τσουρέκι ,Oat Tree,Καρακάση 38
Δωροεπιταγή 15€ ,Inna Queen House,Χαλκιδικής 85
50% έκπτωση στην αγορά των βιβλίων του ακαδ. έτους 2026-2027,E-Z English,Μαντινείας 57
Υποτροφία Μάρτιο-Ιούνιο + Στολή Ταεκβοντό + Τ-shirt ,ΑΣ Πάνθεον ,Παπαδάκη 4
Σετ κασκόλ+σκούφο παιδικό,Filios Accessories ,25ης Μαρτίου 52
"Επιτραπέζιο παιχνίδι ""Cakes""",E Fantasy,Ερμού 55
Δωροεπιταγή 10€,Βιβλιοκίνηση ,Δελφών 159
Club σάντουιτς ,Τα δυο γουρουνάκια ,Καρακάση 52
2 μήνες δωρεάν για τμήμα χορού της επιλογής σας (από Σεπτέμβριο) ,Capsula di Danza,Καθ. Χατζηδάκη 13
Λογοθεραπευτική αξιολόγηση ,Λογοκίνηση,Κ. Καραμανλή 88
2 soft cookies,Oat Tree,Καρακάση 38
1 μηνιαία συνδρομή (για νέα μέλη),Σχολή χορού Line of Dance,Νικ. Πλαστήρα 30
1 κόσμημα,Πολύδωρος Εργαστήριο Χρυσοχοϊας,Παπακυριαζή 9
2 παιδικά κουρέματα ,Evi's coiffure,Μπότσαρη 62
Έκπτωση με μια συνδρομή δύο παιδιά αδερφό ή ξάδερφο από Μάρτη ως Ιούνη κ 2 στολές+2 t-shirt δώρο ,ΑΣ Πάνθεον ,Παπαδάκη 4
Δωροεπιταγή 5€ για παραγγελίες ,Mammy's Creperie ,25ης Μαρτίου 25
12 μπεζέδες,Εμμανουήλ Μπεζές,Βας. Όλγας 229
Δωροκάρτα 20€ σε εκτυπώσεις ,Παπαδάκης φωτοτυπάδικο ,Π. Συνδίκα 42
2 μήνες δωρεάν για τμήμα χορού της επιλογής σας (από Σεπτέμβριο) ,Capsula di Danza,Καθ. Χατζηδάκη 13
Υποτροφία Μάρτιο-Ιούνιο + Στολή Ταεκβοντό + Τ-shirt,ΑΣ Πάνθεον,Παπαδάκη 4
Πατάκια  αυτοκινήτου σετ-4άδα,Auto House,Σόλωνος 66
12 μπεζέδες,Εμμανουήλ Μπεζές ,Βας. Όλγας 229
50€ έκπτωση στα δίδακτρα του επόμενου ακαδ. έτους (2026-2027),E-Z English,Μαντινείας 57
Ημιμόνιμο μανικιούρ ,Princess Nails and More,25ης Μαρτίου 50
Δωροκάρτα αξίας 10€ ,Φαρμακείο Μπαξεβάνης,25ης Μαρτίου 55
Δωροεπιταγή 5€ για παραγγελίες ,Mammy's Creperie,25ης Μαρτίου 25
1 hands free,Phone Club ,25ης Μαρτίου 61
1 δωρεάν συνεδρία μασάζ-μάλαξη,Αντωνόπουλος Αριστείδης ,Ναταλίας Mελά 4 (περιοχή Ανθέων)
Έκπτωση με μια συνδρομή δύο παιδιά αδερφό ή ξάδερφο από Μάρτη ως Ιούνη κ 2 στολές+2 t-shirt δώρο ,ΑΣ Πάνθεον ,Παπαδάκη 4
2 κουτιά ροφήματος σοκολάτας ,Illy Espresso System,Κατσιμίδη 32
12 μπεζέδες,Εμμανουήλ Μπεζές ,Βας. Όλγας 229
1 κόσμημα,Πολύδωρος Εργαστήριο Χρυσοχοϊας,Παπακυριαζή 9
1 hands free,Phone Club ,25ης Μαρτίου 61
Φιγούρα παιχνιδιού + χάρακας,OtacuStore ,25ης Μαρτίου 51 
Βούρτσα και στεκα μαλλιών ,Top hair, Δελφών 92
2 μήνες δωρεάν για τμήμα χορού της επιλογής σας (από Σεπτέμβριο) ,Capsula di Danza,Καθ. Χατζηδάκη 13
Δωροκάρτα 10€ για αγορές της επιλογής σας,Roses Flower Design,Π. Συνδίκα 42
1 ενισχυμένο ημιμόνιμο μανικιούρ,BartDon Studio,Σόλωνος 45
2 μήνες δωρεάν για τμήμα χορού της επιλογής σας (από Σεπτέμβριο) ,Capsula di Danza,Καθ. Χατζηδάκη 13
1 μήνας δωρεάν συνδρομή,Εν Σώματι Γυμναστήριο ,Π. Συνδίκα 58
1 βραχιόλι ,Agma,Μπότσαρη 
50% έκπτωση στην αγορά των βιβλίων του ακαδ. έτους 2026-2027,E-Z English,Μαντινείας 57
Δωροεπιταγή 5€ για παραγγελίες ,Μammy's Creperie ,25ης Μαρτίου 25
